| Objective（目标）                                   | Key Result（可验收结果）   | 指标口径（公式/说明）                                                     | 目标值（建议）                             | 频率                  |          |   |
| ----------------------------------------------- | ------------------- | --------------------------------------------------------------- | ----------------------------------- | ------------------- | -------- | - |
| O1：降低电力成本（Energy Cost Optimization）             | KR1：总电费下降           | `Cost_USD = Σ(kWh * $/kWh)`，对比 Baseline vs Treatment            | **-5% 到 -10%**（有峰谷价差时）              | 周/月底                |          |   |
|                                                 | KR2：单位算力电费下降        | `Cost_per_TH = Cost_USD / Σ(TH*s 或 TH_avg)`（统一口径）               | **-5%**                             | 周                   |          |   |
|                                                 | KR3：峰时段用电占比下降       | `Peak_kWh% = Peak_kWh / Total_kWh`                              | **-10% 相对下降**                       | 周                   |          |   |
|                                                 | KR4：限电执行精度          | `Accuracy = 1 -                                                 | Actual_Reduction - Target_Reduction | / Target_Reduction` | **≥95%** | 日 |
|                                                 | KR5：Uptime 达标       | `Uptime = Online_miner_hours / Total_miner_hours`               | **≥目标值（如 85%）**                     | 日/周                 |          |   |
| O2：降低矿机损坏风险（Reduce Broken Rate by Risk Control） | KR6：高温事件下降          | `HighTemp_Minutes` 或 `HighTemp_Alerts`（>75°C / >85°C）           | **-30%**                            | 周                   |          |   |
|                                                 | KR7：板卡 CRITICAL 率下降 | `Critical_Board_Minutes%`（temp>90°C 或 chips_ok/chips_total<95%） | **-20%**                            | 周                   |          |   |
|                                                 | KR8：异常处置时效提升        | `MTTR = Avg(resolved_at - created_at)`                          | **-25%**                            | 周                   |          |   |
|                                                 | KR9：非计划离线减少         | `Unplanned_Offline_Hours`（非计划窗口的离线时长）                           | **-15%**                            | 周                   |          |   |
