id,recorded_at,btc_price,btc_market_cap,btc_volume_24h,network_hashrate,network_difficulty,block_reward,fear_greed_index,price_change_1h,price_change_24h,price_change_7d,source,created_at,current_block_height,median_time,total_work,sync_progress,blocks_until_adjustment
11376,2025-08-21 21:03:32.528666,112364.0,0.0,23596440000.0,881.49,129435235580344.8,3.17619815,50.0,0.1221,-1.7382,-4.7539,mempool+blockchain,2025-08-21 21:03:32.822872,,,,,
11362,2025-08-21 17:27:06.648065,112243.0,0.0,23571030000.0,887.93,129435235580344.8,3.13271969,50.0,-0.5518,-1.4769,-5.0608,mempool+blockchain,2025-08-21 17:27:06.923365,,,,,
11304,2025-08-21 07:24:53.807521,113648.0,0.0,23866079999.0,913.66,129435235580344.8,3.14929463,50.0,-0.0005,-0.1035,-6.9106,mempool+blockchain,2025-08-21 07:24:54.200108,,,,,
11285,2025-08-21 06:47:56.929749,113723.0,0.0,23881830000.0,920.1,129435235580344.8,3.14843579,50.0,-0.1391,0.1224,-7.6296,mempool+blockchain,2025-08-21 06:47:57.339475,,,,,
11377,2025-08-21 21:04:43.144741,112315.0,0.0,23586150000.0,881.49,129435235580344.8,3.13616832,50.0,-0.0004,-1.8802,-4.8704,mempool+blockchain,2025-08-21 21:04:43.961734,,,,,
11305,2025-08-21 07:27:07.917880,113656.0,0.0,23867760000.0,913.66,129435235580344.8,3.14929463,50.0,0.057,-0.0745,-6.8835,mempool+blockchain,2025-08-21 07:27:08.127615,,,,,
11286,2025-08-21 06:50:42.029557,113704.0,0.0,23877840000.0,920.1,129435235580344.8,3.14843579,50.0,-0.1567,0.1048,-7.6459,mempool+blockchain,2025-08-21 06:50:42.208380,,,,,
11378,2025-08-21 21:05:03.451397,112315.0,0.0,23586150000.0,881.49,129435235580344.8,3.13616832,50.0,-0.0004,-1.8802,-4.8704,mempool+blockchain,2025-08-21 21:05:03.674043,,,,,
11306,2025-08-21 07:29:53.314692,113701.0,0.0,23877210000.0,920.1,129435235580344.8,3.14784926,50.0,0.0899,0.0272,-6.8528,mempool+blockchain,2025-08-21 07:29:53.579668,,,,,
11287,2025-08-21 06:53:51.761433,113721.0,0.0,23881410000.0,920.1,129435235580344.8,3.14843579,50.0,-0.189,0.0897,-7.6598,mempool+blockchain,2025-08-21 06:53:52.218374,,,,,
11398,2025-08-21 22:20:38.414636,112575.12,2241152130727.0,32479250639.0,920.1,129435235580344.0,,,,-1.4653,,optimized_v2_0sources,2025-08-21 22:20:38.414648,,,,,
11388,2025-08-21 21:47:50.150291,112448.0,0.0,23614079999.0,900.8,129435235580344.8,3.132214,50.0,0.071,-1.6183,-4.6861,mempool+blockchain,2025-08-21 21:47:50.536218,,,,,
11384,2025-08-21 21:35:16.039316,112502.0,0.0,23625419999.0,887.93,129435235580344.8,3.13690499,50.0,0.223,-1.2419,-4.565,mempool+blockchain,2025-08-21 21:35:16.229075,,,,,
11379,2025-08-21 21:11:23.535459,112205.0,0.0,23563050000.0,868.63,129435235580344.8,3.13616832,50.0,0.0025,-1.8773,-4.8676,mempool+blockchain,2025-08-21 21:11:23.809507,,,,,
11307,2025-08-21 07:30:38.410473,113684.0,0.0,23873640000.0,920.1,129435235580344.8,3.14784926,50.0,0.0604,-0.0023,-6.8803,mempool+blockchain,2025-08-21 07:30:39.127420,,,,,
11288,2025-08-21 06:55:03.768760,113715.0,0.0,23880150000.0,920.1,129435235580344.8,3.14843579,50.0,-0.1687,0.11,-7.6411,mempool+blockchain,2025-08-21 06:55:03.982695,,,,,
11399,2025-08-21 22:31:51.193573,112601.0,2242386280021.0,32957496479.0,920.1,129435235580344.8,3.14523254,50.0,0.1349,-1.5551,-4.5536,mempool+blockchain,2025-08-21 22:31:51.740858,,,,,
11400,2025-08-21 22:33:49.077478,112593.0,0.0,0.0,926.53,129435235580344.8,3.14523254,50.0,-0.0351,-1.5589,-4.5573,mempool+blockchain,2025-08-21 22:33:52.192553,,,,,
11401,2025-08-21 22:46:53.339284,112409.0,2238108888613.0,32932043034.0,932.97,129435235580344.8,3.14856713,50.0,-0.0481,-1.8677,-4.7155,mempool+blockchain,2025-08-21 22:46:53.558963,,,,,
11402,2025-08-21 22:50:46.589056,112455.0,0.0,0.0,932.97,129435235580344.8,3.14856713,50.0,-0.0361,-1.8227,-4.6719,mempool+blockchain,2025-08-21 22:50:47.494076,,,,,
11403,2025-08-21 23:01:55.505004,112459.0,2239211473137.0,32522775741.0,932.97,129435235580344.8,3.15235738,50.0,-0.0908,-1.8601,-4.6736,mempool+blockchain,2025-08-21 23:01:56.140417,,,,,
11404,2025-08-21 23:07:43.877333,112431.0,0.0,0.0,939.4,129435235580344.8,3.15235738,50.0,-0.0551,-1.7751,-4.5968,mempool+blockchain,2025-08-21 23:07:45.052316,,,,,
11405,2025-08-21 23:16:58.649063,112317.0,2236633973789.0,32005437766.0,939.4,129435235580344.8,3.14191937,50.0,-0.2352,-1.7778,-4.6936,mempool+blockchain,2025-08-21 23:16:59.235413,,,,,
11406,2025-08-21 23:24:36.377363,112274.0,0.0,0.0,939.4,129435235580344.8,3.13120227,50.0,-0.2958,-1.722,-4.7119,mempool+blockchain,2025-08-21 23:24:37.393455,,,,,
11407,2025-08-21 23:32:01.185832,112395.0,2235035210801.0,32443637619.0,958.7,129435235580344.8,3.1455343,50.0,-0.1754,-1.6365,-4.6272,mempool+blockchain,2025-08-21 23:32:01.862046,,,,,
11408,2025-08-21 23:40:57.898854,112310.0,0.0,0.0,965.14,129435235580344.8,3.14656876,50.0,-0.1409,-1.7242,-4.7008,mempool+blockchain,2025-08-21 23:40:58.815625,,,,,
11409,2025-08-21 23:47:03.513595,112265.0,2236104009821.0,32010479916.0,965.14,129435235580344.8,3.14656876,50.0,-0.1287,-1.7936,-4.7371,mempool+blockchain,2025-08-21 23:47:04.068825,,,,,
11410,2025-08-21 23:55:56.598723,112374.0,0.0,0.0,958.7,129435235580344.8,3.13987882,50.0,-0.0843,-1.6401,-4.645,mempool+blockchain,2025-08-21 23:55:57.514826,,,,,
11411,2025-08-22 00:02:05.968822,112447.0,2238121481750.0,32444721481.0,958.7,129435235580344.8,3.13083371,50.0,0.0631,-1.5787,-4.5832,mempool+blockchain,2025-08-22 00:02:06.657498,,,,,
11412,2025-08-22 00:12:49.098508,112608.0,0.0,0.0,958.7,129435235580344.8,3.12962293,50.0,0.2376,-1.3439,-4.8284,mempool+blockchain,2025-08-22 00:12:50.014941,,,,,
11414,2025-08-22 00:15:08.265415,112658.0,2240035862657.0,32331197839.0,958.7,129435235580344.8,3.12803599,50.0,0.2763,-1.3058,-4.7916,mempool+blockchain,2025-08-22 00:15:08.472660,,,,,
11415,2025-08-22 00:18:10.857586,112617.0,2240035862657.0,32274401482.0,945.84,129435235580344.8,3.12803599,50.0,0.2396,-1.2856,-4.8261,mempool+blockchain,2025-08-22 00:18:11.153135,,,,,
11420,2025-08-22 00:47:39.751513,112654.0,2242896546156.0,31507637877.0,952.27,129435235580344.8,3.132858,50.0,0.3434,-1.5327,-4.7951,mempool+blockchain,2025-08-22 00:47:40.024361,,,,,
11423,2025-08-22 00:57:01.874903,112562.0,0.0,0.0,971.57,129435235580344.8,3.12851717,50.0,0.1311,-1.5533,-4.8727,mempool+blockchain,2025-08-22 00:57:02.893325,,,,,
11424,2025-08-22 01:03:53.803247,112628.0,2241637691275.0,31626373867.0,958.7,129435235580344.8,3.12804643,50.0,0.105,-1.4448,-4.8099,mempool+blockchain,2025-08-22 01:03:54.418040,,,,,
