id,report_type,generated_at,title,summary,key_findings,recommendations,risk_assessment,data_period_start,data_period_end,confidence_score,created_at
1,daily,2025-06-28 05:43:47.158212,Bitcoin Daily Analysis - 2025-06-28,"Bitcoin在过去24小时内交易于$107,327.00-$107,327.00区间，平均价格$107,327.00，日内波动率0.0%。网络算力维持在904.9 EH/s水平。","{'price_range': '$107,327.00 - $107,327.00', 'avg_price': '$107,327.00', 'avg_hashrate': '904.89 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-27 05:43:47.158294,2025-06-28 05:43:47.158299,0.85,2025-06-28 05:43:47.286769
2,daily,2025-06-28 05:44:23.954670,Bitcoin Daily Analysis - 2025-06-28,"Bitcoin在过去24小时内交易于$107,315.00-$107,327.00区间，平均价格$107,321.00，日内波动率0.0%。网络算力维持在904.9 EH/s水平。","{'price_range': '$107,315.00 - $107,327.00', 'avg_price': '$107,321.00', 'avg_hashrate': '904.89 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-27 05:44:23.954775,2025-06-28 05:44:23.954784,0.85,2025-06-28 05:44:24.087556
3,daily,2025-06-29 00:00:11.955948,Bitcoin Daily Analysis - 2025-06-29,"Bitcoin在过去24小时内交易于$107,226.00-$107,451.00区间，平均价格$107,327.89，日内波动率0.2%。网络算力维持在856.6 EH/s水平。","{'price_range': '$107,226.00 - $107,451.00', 'avg_price': '$107,327.89', 'avg_hashrate': '856.60 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-28 00:00:11.956053,2025-06-29 00:00:11.956060,0.85,2025-06-29 00:00:14.296750
4,daily,2025-06-30 00:00:15.956792,Bitcoin Daily Analysis - 2025-06-30,"Bitcoin在过去24小时内交易于$107,247.00-$108,376.00区间，平均价格$107,875.58，日内波动率1.0%。网络算力维持在852.3 EH/s水平。","{'price_range': '$107,247.00 - $108,376.00', 'avg_price': '$107,875.58', 'avg_hashrate': '852.30 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-29 00:00:15.956899,2025-06-30 00:00:15.956906,0.85,2025-06-30 00:00:16.461223
5,daily,2025-06-30 00:00:47.489297,Bitcoin Daily Analysis - 2025-06-30,"Bitcoin在过去24小时内交易于$107,247.00-$108,376.00区间，平均价格$107,875.58，日内波动率1.0%。网络算力维持在852.3 EH/s水平。","{'price_range': '$107,247.00 - $108,376.00', 'avg_price': '$107,875.58', 'avg_hashrate': '852.30 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '数据不足'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-29 00:00:47.489421,2025-06-30 00:00:47.489429,0.85,2025-06-30 00:00:47.631044
6,daily,2025-06-30 21:34:39.337576,Bitcoin Daily Analysis - 2025-06-30,"Bitcoin在过去24小时内交易于$106,837.00-$108,773.00区间，平均价格$108,131.73，日内波动率1.8%。网络算力维持在903.4 EH/s水平。技术指标处于中性区间。","{'price_range': '$106,837.00 - $108,773.00', 'avg_price': '$108,131.73', 'avg_hashrate': '903.43 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-29 21:34:39.337781,2025-06-30 21:34:39.337788,0.85,2025-06-30 21:34:39.485684
7,daily,2025-07-01 00:00:46.086995,Bitcoin Daily Analysis - 2025-07-01,"Bitcoin在过去24小时内交易于$106,837.00-$108,773.00区间，平均价格$107,901.26，日内波动率1.8%。网络算力维持在878.6 EH/s水平。技术指标处于中性区间。","{'price_range': '$106,837.00 - $108,773.00', 'avg_price': '$107,901.26', 'avg_hashrate': '878.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}","['低波动环境，适合长期持有策略', '网络算力强劲，网络安全性高']","{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-06-30 00:00:46.087093,2025-07-01 00:00:46.087099,0.85,2025-07-01 00:00:46.331373
8,daily,2025-07-02 00:00:24.185095,Bitcoin Daily Analysis - 2025-07-02,"Bitcoin在过去24小时内交易于$105,490.00-$107,461.00区间，平均价格$106,510.95，日内波动率1.9%。网络算力维持在755.2 EH/s水平。技术指标处于中性区间。","{'price_range': '$105,490.00 - $107,461.00', 'avg_price': '$106,510.95', 'avg_hashrate': '755.20 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '中性 - 保持观望'}",['低波动环境，适合长期持有策略'],"{'risk_score': 40, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-01 00:00:24.185193,2025-07-02 00:00:24.185199,0.85,2025-07-02 00:00:24.505096
9,daily,2025-07-03 00:00:02.910107,Bitcoin Daily Analysis - 2025-07-02,"Bitcoin在过去24小时内交易于$105,440.00-$109,502.00区间，平均价格$106,932.56，日内波动率3.8%。网络算力维持在772.6 EH/s水平。技术指标显示超买状态。","{'price_range': '$105,440.00 - $109,502.00', 'avg_price': '$106,932.56', 'avg_hashrate': '772.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超买 - 考虑卖出'}",['RSI超买，谨慎追涨'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-02 00:00:02.910107,2025-07-03 00:00:02.910107,0.85,2025-07-03 00:00:03.302590
10,daily,2025-07-03 00:00:23.278205,Bitcoin Daily Analysis - 2025-07-02,"Bitcoin在过去24小时内交易于$105,440.00-$109,502.00区间，平均价格$106,932.56，日内波动率3.8%。网络算力维持在772.6 EH/s水平。技术指标显示超买状态。","{'price_range': '$105,440.00 - $109,502.00', 'avg_price': '$106,932.56', 'avg_hashrate': '772.62 EH/s', 'market_sentiment': '贪婪', 'rsi_signal': '超买 - 考虑卖出'}",['RSI超买，谨慎追涨'],"{'risk_score': 50, 'risk_level': '中', 'factors': ['价格波动率', '技术指标', '市场情绪']}",2025-07-02 00:00:23.278205,2025-07-03 00:00:23.278205,0.85,2025-07-03 00:00:23.445603
